,title,org,desc,disabilities,homeless_housing,crisis_support,health_med,child_youth,arts_culture,edu_lit,women,advocacy,seniors,animals
29,Oak-Leyden Board and Committee Opportunities,Oak Leyden Developmental Services,"Oak-Leyden is looking for individuals interested in nonprofits who'd like to be on our board and various committees: Finance, Development...",True,False,False,False,False,False,False,False,False,False,False
30,Special Events and General Fundraising Volunteer,Friedman Place,General: Getting information correct in the data base is one of the first and most important tenants in fundraising. We need help with...,True,False,False,False,False,False,False,False,False,False,False
31,Weaver's Assistant,Friedman Place,Responsibilities: Learn weaving vocabulary Aid residents walking to and from studio Assist resident in weaving which includes: measuring...,True,False,False,False,False,True,False,False,False,True,False
32,Volunteer Performer,Friedman Place,Responsibilities: Share your talents with the residents of Friedman Place Coordinate with the Activity Department for a performance time...,True,False,False,False,False,True,False,False,False,True,False
33,Sewing Volunteer,Friedman Place,Responsibilities: Assist in finishing work of the items produced by our residents in our weaving workshop Machine hemming Hand sewing...,True,False,False,False,False,True,False,False,False,True,False
34,Annual Event Planning Committee,Oak Leyden Developmental Services,"Opportunity to help plan an exciting fundraising event, Oak-Leyden Unmasked. Planning starts now for the February 21, 2020 event at...",True,False,False,False,True,False,False,False,False,False,False
35,Adult Basic Education Tutor,Project CARE,Provide individual tutoring to students in the ABE program and prepare creative lesson plans. Assist students in improving academic...,True,False,False,False,False,False,True,False,False,False,False
36,E-cycling Program Volunteer,The Douglas Center,"The Douglas Center, a non-profit organization located in Skokie, IL, provides community day services for individuals, ages 18 to 80+,...",True,False,False,False,False,False,False,False,False,False,False
37,Reading Assistance Volunteers,The Douglas Center,"If you are in school to become a teacher or just enjoy helping people improve their reading skills, this is for you! Many clients at The...",True,False,False,False,False,False,True,False,False,True,False
38,Program Support Aide,The Douglas Center,"The Douglas Center, a non-profit organization located in Skokie, IL, provides community day services for individuals, ages 18 to 80+,...",True,False,False,False,False,False,False,False,False,True,False
39,Art from the Heart Volunteer,The Douglas Center,"Can you color, paint, draw or enjoying helping those that do? You don't need to be an artist for this opportunity! We are seeking...",True,False,False,False,False,True,False,False,False,False,False
40,Intern at the Institute for Therapy through the Arts!,Institute for Therapy through the Arts,Come intern at the Institute for Therapy through the Arts and gain valuable profession and clinical experience in the field of creative...,True,False,False,False,False,True,False,False,False,False,False
41,Retail Sales Associate - Old Orchard Skokie,NORTH SHORE EXCHANGE,"Passionate about fashion and giving back? Join our growing volunteer team. North Shore Exchange, https://northshoreexchange.org, the...",True,False,False,False,True,False,False,True,False,False,False
42,Evanston Area Volunteers Needed,The Center of Concern,We are looking for volunteers in the Evanston area for numerous volunteer opportunities coming up. Our services are expanding out to that...,True,False,False,False,False,False,False,False,False,True,False
43,Help out with programs for Participants with developmental disabilities,Our Place,"Join participants in numerous different programs, including sports, art therapy, interactive games, and more! You may help staff by...",True,False,False,False,False,False,False,False,False,False,False
44,Homebound Book Driver,Skokie Public Library,Homebound Job Description Driver Person will deliver materials to patrons every three weeks. Duties and Responsibilities Will arrange...,True,False,False,False,False,False,True,False,False,False,False
45,Therapy Dog Programming Assistant,Skokie Public Library,Assist with a monthly Rainbow Animal Assisted Therapy Time program by serving as a one-on-one aide for children ages 7-12. Help...,True,False,False,False,True,False,False,False,False,False,True
46,Book Selector for Homebound Delivery Service,Skokie Public Library,"Do you love to browse bookstores? Do you have a pile of books by your bed, waiting to be read? Does the phrase ""so many books, so...",True,False,False,False,False,False,True,False,False,True,False
47,Book Club for the Disabled,Skokie Public Library,"Position: Let's Get Together Book Club Major Objective: To facilitate reading, discussion, and related activities in a weekly book club...",True,False,False,False,False,False,True,False,False,False,False
48,Love Puppies?   Want to make a difference is someone's life?,Paws With A Cause,Paws With A Cause is currently looking for volunteers to raise our future Assistance Dogs. A puppy is placed in your home at 8 weeks of...,True,False,False,False,False,False,False,False,False,False,True
49,Volunteer to help older adults!,"norVOLution, Norwood's Volunteer Revolution","NorVOLution, Norwood Life Society's volunteer organization in Chicago's Norwood Park community, is looking for volunteers of all kinds!...",True,False,False,False,False,False,False,False,False,True,False
50,Bring the Outside World to our Residents!,"norVOLution, Norwood's Volunteer Revolution","Share your passion, skills or hobby with the residents of our award-winning senior residential facility. We make it easy for you to...",True,False,False,False,False,False,False,False,False,True,False
51,Event Ambassadors,The Center of Concern,Looking for enthusiastic and friendly individuals looking to give back for a great cause! Promote and distribute flyers/brochures at...,True,True,False,False,False,False,False,False,False,True,False
52,Volunteer to bring Harmony and Happiness to Hospice Patients,VITAS Healthcare of Chicagoland NW,Opportunity Description: VITAS Healthcare(r) is looking for musical volunteers who are able to play musical instruments and/or sing for...,True,False,False,True,False,False,False,False,False,True,False
53,Promote Relaxation to Hospice Patients with Massage Therapy,VITAS Healthcare of Chicagoland NW,"VITAS Healthcare is looking for kind and caring massage therapists to pamper hospice patients living at home, in the hospital or in long...",True,False,False,True,False,False,False,False,False,True,False
54,Butterfly Ball,RAY GRAHAM ASSOCIATION FOR PEOPLE WITH...,In need of volunteers for Ray Graham's 45th annual The Butterfly Ball. This is a fundraiser that helps support over 2000 people with...,True,False,False,False,False,False,False,False,False,False,False
55,#GivingTuesday Telethon Volunteers Needed. *Help us kick off this Giving Season right!*,"Sertoma Centre, Inc.","After Black Friday and Cyber Monday comes #GivingTuesday. Each year Sertoma Centre enlists the help of amazing volunteer, just like you,...",True,False,False,False,False,False,False,False,True,False,False
56,Older Adult Services,Advocate Lutheran General Hospital,"Entertain our seniors! Our Adult Day Care is looking for individuals to help with activities such as bingo, games, conversation etc. If...",True,False,False,True,False,False,False,False,False,True,False
57,Join The SertomaCentre Family! -Office/Clinic Administrative Volunteers Needed-,"Sertoma Centre, Inc.",The Sertoma Centre Family is in need of at least 2 committed administrative Volunteers. We need assistance at two of our Southside...,True,False,False,False,False,False,False,False,False,False,False
58,WANTED: An individual living with mental illness looking to make a difference for...,NAMI COOK COUNTY NORTH SUBURBAN,Balance for Success Group is the first and third Tuesday of each month from 7-8:30pm at Winnetka Congregational Church in Winnetka. There...,True,False,True,True,False,False,False,False,False,False,False
59,Compassionate Listener: Become a bereavement caller.,Seasons Hospice and Palliative Care- Illinois,Bereavement Phone Callers needed!! Seasons Hospice and Palliative Care is looking for individuals who like to share and talk on the phone...,True,False,True,False,False,False,False,False,False,False,False
60,No One Should Die Alone: Vigil Volunteers Needed,Seasons Hospice and Palliative Care- Illinois,Seasons Hospice and Palliative Care is looking for caring volunteers who would like to make a difference in the lives of people facing...,True,False,True,True,False,False,False,False,False,False,False
61,The last good thing that may happen in a person's life is a hospice volunteer,Heartland Hospice,Volunteers are the HEART of Heartland Hospice! We are looking for special individuals who live in South Holland and surrounding...,True,False,False,True,False,False,False,False,False,True,False
62,Fashion Intake & Pricing Specialist,NORTH SHORE EXCHANGE,"North Shore Exchange (https://northshoreexchange.org), the award-winning, nonprofit luxury resale shop, is opening a third location in...",True,True,False,False,True,False,False,False,False,False,False
63,Home Accessories Intake & Pricing Specialist,NORTH SHORE EXCHANGE,"North Shore Exchange (https://northshoreexchange.org), the award-winning, nonprofit luxury resale shop, is opening a third location in...",True,True,False,False,True,False,False,False,False,False,False
64,Artist Mentor,Arts of Life North Shore,Artist Mentors The Arts of Life advances the creative arts community by providing artists with intellectual and developmental...,True,False,False,False,False,True,False,False,True,False,False
65,Design Content for Arts Based Non-Profit,Arts of Life North Shore,Designer Arts of Life advances the creative arts community by providing artists with intellectual and developmental disabilities a...,True,False,False,False,False,True,False,False,True,False,False
66,Seeking Creative Individuals!,Arts of Life North Shore,Arts of Life advances the creative arts community by providing artists with intellectual and developmental disabilities a collective...,True,False,False,False,False,True,False,False,True,False,False
67,Work with the Arts of Life North Shore Band,Arts of Life North Shore,"Music Assistant Volunteer/ Intern This position is ideal for those interested in music, education, songwriting or advocacy for the...",True,False,False,False,False,True,False,False,False,False,False
68,Arts Administration & Marketing,Arts of Life North Shore,Arts of Life advances the creative arts community by providing artists with intellectual and developmental disabilities a collective...,True,False,False,False,False,True,False,False,False,False,False
69,VOLUNTEERS FOR ADAPTIVE TENNIS PROGRAM,Great Lakes Adaptive Sports Association (GLASA),"GLASA is looking for enthusiastic volunteers to help with our ongoing tennis program for children, adults and injured veterans with a...",True,False,False,False,True,False,False,False,False,False,False
70,Cleaning Crew Needed!,Northwest Special Recreation Association (NWSRA),Northwest Special Recreation Association offers inclusion assistance for children and adults who have disabilities within the 17 park...,True,False,False,False,True,False,False,False,False,False,False
71,General Recreation Program Assistant,Northwest Special Recreation Association (NWSRA),Northwest Special Recreation Association is an extension of 17 park districts in the northwest suburbs and provides recreational...,True,False,False,False,True,False,False,False,False,False,False
72,Take a Break in the Afternoon,Clearbrook,"Volunteers participate in play with children with special needs, birth to age 5, at various sites to give parents a regularly scheduled...",True,False,False,False,True,False,False,False,False,False,False
73,Help a Child Feel Included!,Northwest Special Recreation Association (NWSRA),Northwest Special Recreation Association offers inclusion assistance for children and adults who have disabilities within the 17 park...,True,False,False,False,True,False,False,False,False,False,False
74,Saturday Bowling Volunteer,The Center for Enriched Living,"The Center for Enriched Living exists so that people with developmental disabilities can be fully included in the community, achieve...",True,False,False,False,False,False,False,False,False,False,False
75,Sunday Afternoon Volunteer,The Center for Enriched Living,"The Center for Enriched Living exists so that people with developmental disabilities can be fully included in the community, achieve...",True,False,False,False,False,False,True,False,False,False,False
76,Employment Job Coach,The Center for Enriched Living,You can change a life. People with developmental disabilities face many barriers when looking for employment in the community -...,True,False,False,False,False,False,False,False,False,False,False
77,Daytime volunteer,The Center for Enriched Living,"REACH is a year-round day program for adults with developmental disabilities who work part-time, are unemployed, are transitioning into...",True,False,False,False,False,False,False,False,False,False,False
78,Looking for something fun to do with your Saturday mornings?,Northwest Special Recreation Association (NWSRA),NWSRA exists to provide outstanding recreation opportunities for children and adults who have disabilities. One way we meet that mission...,True,False,False,False,True,False,False,False,False,False,False
79,Show us your muscles - become a Powerlifting Coach!,Northwest Special Recreation Association (NWSRA),Assist athletes who have special needs in weekly training sessions as they prepare to compete in Special Olympics competitions. Assistant...,True,False,False,False,False,False,False,False,False,False,False
80,Bon Appetit! Help a person with a disability learn to cook,Northwest Special Recreation Association (NWSRA),"NWSRA offers several cooking programs for adults who have disabilities. These programs help participants improve fine motor, cognitive,...",True,False,False,False,False,False,False,False,False,False,False
81,"Have some ""spare"" time? Help bowlers who have special needs!",Northwest Special Recreation Association (NWSRA),NWSRA exsists to provide outstanding opportunities for children and adults who have disabilities. Volunteers are needed to help these...,True,False,False,False,False,False,False,False,False,False,False
82,Multiple Volunteer Opportunities - All Ages - Individual and Groups,HandsOn Suburban Chicago,HandsOn Suburban Chicago connects individuals and groups interested in volunteering with opportunities to serve their community....,True,False,False,False,True,False,False,False,False,False,False
83,Photographer,Clearbrook,Photographer to take pictures for us at our different day programs during the week from 10am to 1:30pm.,True,False,False,False,False,False,False,False,False,False,False
84,Bowling Buddies,Clearbrook,"Assist adults with intellectual disabilities on a Saturday bowling league. September - April, Saturdays 11:15am-2pm in Elk Grove Village",True,False,False,False,False,False,False,False,False,False,False
85,Volunteer for Equine Therapy horsebackriding program- Special needs and veterans,Holistic Riding Equestrian Therapy,"HOLISTIC RIDING EQUESTRIAN THERAPY (HRET) is designed to improve the quality of life physically, emotionally, cognitively, and socially...",True,False,False,False,False,False,False,False,False,False,False
86,Volunteer for Equine Therapy Program - Special Needs and Veterans,Holistic Riding Equestrian Therapy,"HOLISTIC RIDING EQUESTRIAN THERAPY (HRET) is designed to improve the quality of life physically, emotionally, cognitively, and socially...",True,False,False,False,False,False,False,False,False,False,False
87,Social Program Volunteer- to support young adults with developmental disabilities..,TotalLink2 Community,TotalLink2 Community is a 501(c)(3) that empowers people with disabilities to live the life they choose within their community...through...,True,False,False,False,False,False,False,False,False,False,False
88,Volunteer for Equine Therapy program,Holistic Riding Equestrian Therapy,"HOLISTIC RIDING EQUESTRIAN THERAPY (HRET) is designed to improve the quality of life physically, emotionally, cognitively, and socially...",True,False,False,False,False,False,False,False,False,False,False
89,Office Help,Clearbrook,"Volunteers needed for clerical work -- data entry, bulk mailings, filing and sort/organize press clippings and photographs.",True,False,False,False,False,False,False,False,False,False,False
90,"Let me crash on your couch... please? - Chicago, IL",ARFS GERMAN SHEPHERD INC,Loaning an animal your couch can save their life! - Every 16 seconds an animal is euthanized simply due to overpopulation.Shelters do not...,False,True,False,False,False,False,False,False,True,False,True
91,Service Day Afternoon Volunteer- Downtown,CHICAGO BRIDGE PROJECT,"On the SECOND Saturday of the month we gather in Logan Square and prepare food, clothing and other comfort items to share with our...",False,True,False,False,False,False,False,False,False,False,False
92,Strategic Management & Business Development Intern (Master's),AIDS Foundation of Chicago,The AIDS Foundation of Chicago (AFC) is seeking a responsible and motivated individual to intern in its Strategy & Business...,False,True,False,True,False,False,False,False,False,False,False
93,Strategic Management & Business Development Intern (Bachelor's),AIDS Foundation of Chicago,The AIDS Foundation of Chicago (AFC) is seeking a responsible and motivated individual to intern in its Strategy & Business...,False,True,False,True,False,False,False,False,False,False,False
94,Passionate Associate Board Members Wanted!,Street Samaritans,"Hello, We're looking for energetic, passionate and motivated individuals in the Chicagoland area to join our Associate Board. We believe...",False,True,False,False,False,False,False,False,False,False,False
95,Family Support Coordinator (1700 hour AmeriCorps),Chicago HOPES for Kids,Chicago HOPES for Kids provides shelter-based academic support for children in Chicago's homeless and domestic violence shelters. We run...,False,True,False,False,True,False,True,False,False,False,False
96,Volunteer Coordinator (1700 hour AmeriCorps member),Chicago HOPES for Kids,Chicago HOPES for Kids provides shelter-based academic support for children in Chicago's homeless and domestic violence shelters. We run...,False,True,False,False,True,False,True,False,False,False,False
97,Program Coordinator (1700 hour AmeriCorps member),Chicago HOPES for Kids,Chicago HOPES for Kids provides shelter-based academic support for children in Chicago's homeless and domestic violence shelters. We run...,False,True,False,False,True,False,True,False,False,False,False
98,"Let me crash on your couch...please? - Chicago, IL",LAURAS HOPE RESCUE,Loaning an animal your couch can save their life! - Every 16 seconds an animal is euthanized simply due to overpopulation. Shelters do...,False,True,False,False,False,False,False,False,True,False,True
99,Crisis Line Volunteer,National Runaway Safeline,"Did you know every year 4.2 million youth experience homelessness? Just last year, 1 out of 30 youth ages 13-17 were affected. National...",False,True,True,False,True,False,False,False,False,False,False
100,Outreach Coordinator (1700 hour AmeriCorps State),Chicago HOPES for Kids,Chicago HOPES for Kids provides shelter-based academic support for children in Chicago's homeless and domestic violence shelters. We run...,False,True,False,False,True,False,False,False,False,False,False
101,Care for Friends Fundraiser Power Hope,Care For Friends,"Care for friends annual fall fundraiser, Power Hope, is coming up on Thursday, November 14th from 5-11pm, and it is going to be a blast!...",False,True,False,False,False,False,False,False,False,False,False
102,Candlelight Vigil and Sleep Out: Chicago 2019,Covenant House Illinois,Spend one evening getting to know some of the youth whose lives will be better because of your work - and spend the rest of the night...,False,True,False,False,False,False,False,False,False,False,False
103,"Cook a meal for the homeless, Streeterville/Gold Coast, flexible shift times.",Chicago Fun Volunteers,"No need to wait for a reply, you can just show up and start helping. Join Fight2Feed as we help cook and feed 150+ meals for the homeless...",False,True,False,False,False,False,False,False,False,False,False
104,Fresh Market Volunteer,La Casa Norte,"Nutrition Center Fresh Market Volunteer ""La Casa Norte’s mission is to serve youth and families confronting homelessness. We...",False,True,False,False,False,False,False,False,False,False,False
105,Community Cafe,La Casa Norte,"Join us for a free and healthy meal in community prepared by our professional chef, Martin Ashton (Lakeview Pantry). Our Community Café...",False,True,False,False,False,False,False,False,False,False,False
106,Clothing Closet Assistant,La Casa Norte,"Title: Emergency Clothing Closet Assistant ""La Casa Norte’s mission is to serve youth and families confronting homelessness....",False,True,False,False,True,False,False,False,False,False,False
107,Join Our Associate Board,The Boulevard: The Road to Health and Home,"Join the Associate Board of The Boulevard! The Associate Board helps the organization in two main ways:(1) hosting fun, energetic social...",False,True,False,True,False,False,False,False,False,False,False
108,Plan and Lead an Art Group for Adults!,The Boulevard: The Road to Health and Home,"What You Can Do: We could use volunteers to facilitate an on-going ""Art Expression Group"". This group encourages The Boulevard...",False,True,False,False,False,True,True,False,False,False,False
109,In a Musical Group or Congregation Ensemble?,The Boulevard: The Road to Health and Home,What You Can Do: The Boulevard--Illinois’ only provider of medical respite housing for ill and injured homeless adults--is always...,False,True,False,True,False,False,False,False,False,False,False
110,Housing Location Specialist,La Casa Norte,"""La Casa Norte’s mission is to serve youth and families confronting homelessness. We provide access to stable housing and...",False,True,False,False,False,False,False,False,False,False,False
111,The World's Big Sleep Out Chicago,The World's Big Sleep Out,"On December 7, 2019, you're invited to join The World's Big Sleep Out to sleep outside, overnight on DePaul University’s quad in...",False,True,False,False,False,False,False,False,False,False,False
112,Soup Kitchen and Food Pantry Volunteer,St Vincent de Paul Food Pantry and Soup Kitchen,"The Elizabeth Ann Seton Food Pantry and Sandwich Window began in 1980, handing out coffee and sandwiches to patrons on our front porch....",False,True,False,False,False,False,False,False,True,False,False
113,Pantry Volunteers! Help us reach over a Thousand Households a Month!,Marillac St. Vincent Family Services,"Our pantry serves well over 200 households and over 10,000 pounds of food per week while providing our clients the opportunity to choose...",False,True,False,False,False,False,False,False,False,True,False
114,Care for Friend's Day of Service - Corporate Thursdays,Care For Friends,Greetings! Care for Friends is seeking groups to volunteer for a day of service on our weekly Corporate Thursdays. What exactly does this...,False,True,False,False,False,False,False,False,False,False,False
115,Love to cook? Prepare a meal for up to 100 people with your colleagues or friends,Care For Friends,We are seeking volunteer teams and individuals to prepare and serve a hot meal on a final Saturday of the month or to fill in for a...,False,True,False,False,False,False,False,False,False,False,False
116,Case Manager,Above and Beyond family Recovery Center,Above and Beyond Family Recovery Center provides free counseling services to one of the most under-served communities in Chicago. Our...,False,True,False,False,False,False,False,False,True,False,False
117,Story Capturing Mentor,Above and Beyond family Recovery Center,Above and Beyond Family Recovery Center provides FREE counseling service to the most under-served substance abusing populations in...,False,True,False,False,False,False,False,False,True,False,False
118,PC Support Technician,Above and Beyond family Recovery Center,Above and Beyond Family Recovery Center provides FREE counseling service to the most under-served substance abusing populations in...,False,True,False,False,False,False,False,False,True,False,False
119,Volunteer WIX Website Designer,"Renaissance Social Services, Inc.",Renaissance Social Services is looking for an individual with WIX website design experience to assist was with updating and making our...,False,True,False,False,False,False,False,False,True,False,False
120,Event Supporter,Above and Beyond family Recovery Center,Above and Beyond Family Recovery Center provides FREE counseling service to the most under-served substance abusing populations in...,False,True,False,False,False,False,False,False,True,False,False
121,Green-Thumbed Gardener,Above and Beyond family Recovery Center,Above and Beyond Family Recovery Center is searching for competent and reliable gardeners to maintain our facility’s community...,False,True,False,False,False,False,False,False,True,False,False
122,Furniture Repair Person,Above and Beyond family Recovery Center,"Addiction does not have to be ugly, even when the populations we serve are homeless, poverty-stricken, and incarceration experienced. In...",False,True,False,True,False,False,False,False,False,True,False
123,Office Assistant,Above and Beyond family Recovery Center,"Above and Beyond is looking for a reliable, organized Office Assistant to manage the day-to-day administrative aspects of our recovery...",False,True,False,False,False,False,False,False,True,False,False
124,LCPC,Above and Beyond family Recovery Center,"Above and Beyond is looking for LCPC Counselors, either retired or in-between employers, who would like to give of themselves to help the...",False,True,True,True,False,False,False,False,False,False,False
125,Join Deborah's Place Hosting Committee,Deborah's Place,Join Deborah’s Place 2019 Opening Doors Host Committee. As we plan our 35th Opening Doors Benefit for a spectacular night of...,False,True,False,False,False,False,False,False,False,False,False
126,Recruiting people for Rescuing Leftover Cuisine's Chicago branch leadership team!,Rescuing Leftover Cuisine Inc,"RLC is opening a branch in Chicago, IL, and we are recruiting people who are interested to be a member of the Chicago Branch's core team....",False,True,False,False,False,False,False,False,False,False,False
127,Make a Difference by Mentoring Youth in North Lawndale,Chicago HOPES for Kids,"Did you know that approximately 18,000 Chicago Public School students were identified as homeless during the 2016-2017 academic school...",False,True,False,False,True,False,True,False,False,False,False
128,Social Media Intern,Metropolitan Tenants Organization,"The mission of the Metropolitan Tenants Organization (MTO) is to educate, organize and empower tenants to have a voice in the decisions...",False,True,False,False,False,False,False,False,True,False,False
129,Volunteers Needed for Footcare Clinic,Care For Friends,Foot Clinic is a service offered on the third Saturday and last Monday of every month from 10am-12pm. People experiencing homelessness...,False,True,False,True,False,False,False,False,False,False,False
130,Healthy Living Skills Facilitator,The Boulevard: The Road to Health and Home,Purpose: The overall goal is to equip residents with the knowledge and skills to be able to manage their own lives in a healthy and...,False,True,False,True,False,False,True,False,False,False,False
131,Lead a Women's Discussion Group,The Boulevard: The Road to Health and Home,What You Can Do: We would love for female volunteers to help facilitate a discussion group for women who live in our transitional housing...,False,True,False,False,False,False,False,True,False,False,False
132,Men's Discussion Group Facilitator,The Boulevard: The Road to Health and Home,"Once a week, the male and female residents attend two separate sessions: The Men's Group and The Women's Group. The Men's Group: The...",False,True,False,False,False,False,False,False,False,False,False
133,Share-A-Meal Event (SAM),The Boulevard: The Road to Health and Home,This is our most popular group activity at The Boulevard! http://www.blvd.org Our Share-a-Meal (SAM) program offers the opportunity for a...,False,True,False,False,False,False,False,False,False,False,False
134,Donation Drives,The Boulevard: The Road to Health and Home,"Help the residents of The Boulevard with their recovery by hosting a doantion drive! Get your church, school or organzation involved and...",False,True,False,False,False,False,False,False,False,False,False
135,Looking to join a Board of Directors?,The Boulevard: The Road to Health and Home,"Are you interested in providing your professional expertise to reduce homelessness in Chicago? Founded in 1994, The Boulevard of Chicago...",False,True,False,True,False,False,False,False,False,False,False
136,Healthcare Clinic Volunteer - Healthcare Experience Needed,Care For Friends,The Care for Friends Healthcare clinic is a service offered on the 2nd Saturday of every month. Health issues and lack of healthcare...,False,True,False,True,False,False,False,False,False,False,False
137,EDUCATE Tutor,Casa Central,La Posada’s main goal is to restore families who are experiencing homelessness to stable and permanent living situations by...,False,True,False,False,False,False,True,False,True,False,False
138,Political Affairs Internship,The Borgen Project,"The Borgen Project is an innovative, national campaign that is working to make poverty a focus of U.S. foreign policy. This is a...",False,True,False,False,False,False,False,False,True,False,False
